Profesión,Riesgo_Automatizacion_%,Tareas_Susceptibles,Habilidades_Futuras
Administrativo/a,85,"Introducción de datos, facturación, gestión de citas","Gestión de excepciones, atención al público, cumplimiento normativo"
Recepcionista,88,"Atención telefónica, agendado, respuestas frecuentes","Comunicación interpersonal, resolución de incidencias complejas"
Asistente de RR.HH.,62,"Criba curricular, respuestas a FAQs de empleados","Gestión del talento, mediación, cultura organizativa"
Cajero/a,92,"Cobro, control de stock, facturación","Atención personalizada, venta consultiva, supervisión de IA"
Dependiente/a,64,"Recomendaciones básicas, inventario, devoluciones simples","Visual merchandising, experiencia de cliente, gestión de quejas"
Contable,94,"Registro de asientos, conciliaciones, reportes básicos","Análisis financiero, control interno, auditoría"
Analista financiero/a,46,"Modelos estándar, agregación de datos","Pensamiento crítico, narrativas con datos, estrategia"
Gestor/a de banca,51,"Oferta de productos estándar, scoring inicial","Asesoramiento personalizado, planificación patrimonial"
Abogado/a,24,"Búsqueda jurisprudencial, revisión de contratos estándar","Negociación, estrategia procesal, argumentación"
Paralegal,71,"Plantillas de escritos, gestión documental","Coordinación de casos, trato con clientes"
Médico/a,15,"Triage básico, análisis de imágenes, soporte diagnóstico","Empatía clínica, decisiones éticas, coordinación multidisciplinar"
Enfermero/a,33,"Monitorización, registros, educación sanitaria básica","Cuidados complejos, comunicación con familia/pacientes"
Técnico/a de laboratorio,67,"Procesamiento de muestras, análisis rutinarios","Validación de resultados, control de calidad"
Profesor/a,34,"Corrección automática, generación de ejercicios","Tutoría personalizada, motivación, adaptación pedagógica"
Orientador/a educativo/a,29,"Tests estandarizados, recopilación de historiales","Intervención personalizada, coordinación con familias"
Ingeniero/a de software,37,"Generación de código base, pruebas unitarias","Arquitectura, diseño de sistemas, seguridad"
Administrador/a de sistemas,58,"Provisionamiento, monitorización rutinaria","Hardening, contingencia, optimización de costes"
Data analyst,52,"Limpieza de datos, dashboards estándar","Definición de KPIs, causalidad vs correlación"
UX/UI designer,41,"Wireframes básicos, variantes visuales","Investigación con usuarios, diseño estratégico"
Periodista,55,"Notas breves, resúmenes, transcripción","Investigación de campo, reportajes en profundidad"
Diseñador/a gráfico/a,48,"Variantes de logos, banners simples, maquetación","Dirección creativa, branding, narrativa visual"
Community manager,63,"Calendarios básicos, copies genéricos","Gestión de crisis, tono de marca, co-creación con comunidad"
Operario/a de fábrica,83,"Montaje repetitivo, control visual básico","Mantenimiento de 1er nivel, resolución de incidencias"
Técnico/a de mantenimiento,45,"Diagnóstico con sensores, checklists","Intervención compleja, mejora continua"
Mozo/a de almacén,86,"Picking, etiquetado, inventario","Coordinación, seguridad, manejo de excepciones"
Conductor/a reparto,72,"Rutas estándar, entregas repetitivas","Trato con cliente, resolución en última milla"
Camarero/a,57,"Toma de pedidos, cobro, recomendaciones estándar","Hospitalidad, upselling, gestión de conflictos"
Cocinero/a,39,"Mise en place, recetas repetitivas","Creatividad culinaria, emplatado, gestión de cocina"
Agente de viajes,68,"Búsqueda de vuelos/hoteles, itinerarios estándar","Diseño de experiencias, asesoría personalizada"
Policía local,22,"Reportes, análisis de patrones","Juicio en situaciones imprevisibles, mediación social"
Bibliotecario/a,61,"Catalogación, recomendaciones básicas","Programas culturales, alfabetización informacional"
