Profesión,Riesgo_Automatizacion_%,Tareas_Susceptibles,Habilidades_Futuras
Médico/a,15,"Triage básico, análisis de imágenes, soporte diagnóstico","Empatía clínica, decisiones éticas, coordinación multidisciplinar"
Enfermero/a,33,"Monitorización, registros, educación sanitaria básica","Cuidados complejos, comunicación con familia/pacientes"
Profesor/a,34,"Corrección automática, generación de ejercicios","Tutoría personalizada, motivación, adaptación pedagógica"
Camarero/a,57,"Toma de pedidos, cobro, recomendaciones estándar","Hospitalidad, upselling, gestión de conflictos"
Cocinero/a,39,"Mise en place, recetas repetitivas","Creatividad culinaria, emplatado, gestión de cocina"
Atención al cliente,64,"Recomendaciones básicas, inventario, devoluciones simples","Visual merchandising, experiencia de cliente, gestión de quejas"
Ingeniero/a,37,"Generación de código base, pruebas unitarias","Arquitectura, diseño de sistemas, seguridad"
Agricultor/a,56,"Cosecha mecánica, riego automático, control de plagas","Agricultura de precisión, gestión sostenible, uso de drones"
Turismo,49,"Atención en recepción, gestión de reservas, guías automatizadas","Diseño de experiencias, atención personalizada, marketing cultural"
Periodista,55,"Notas breves, resúmenes, transcripción","Investigación de campo, reportajes en profundidad"
Diseñador/a gráfico/a,48,"Variantes de logos, banners simples, maquetación","Dirección creativa, branding, narrativa visual"
Abogado/a,24,"Búsqueda jurisprudencial, revisión de contratos estándar","Negociación, estrategia procesal, argumentación"
Contable,94,"Registro de asientos, conciliaciones, reportes básicos","Análisis financiero, control interno, auditoría"
Operario/a de fábrica,83,"Montaje repetitivo, control visual básico","Mantenimiento de 1er nivel, resolución de incidencias"
Técnico/a de mantenimiento,45,"Diagnóstico con sensores, checklists","Intervención compleja, mejora continua"
Agente de viajes,68,"Búsqueda de vuelos/hoteles, itinerarios estándar","Diseño de experiencias, asesoría personalizada"
Policía local,22,"Reportes, análisis de patrones","Juicio en situaciones imprevisibles, mediación social"
